blh,valid_time,d2m,latitude,longitude,sp,sshf,ssrd,strd,t2m,tcc,tp,u10,v10
279.3953857421875,2016/1/16 9:00,274.82342529296875,31.1922,121.4317,102211.0078,-61064.5,888690.5,872424.625,277.8164367675781,0,-1.86E-09,-2.35717535,0.7850207090377808
525.59716796875,2016/1/16 10:00,274.7276916503906,31.1922,121.4317,102189.9453,-223290.5625,1507009.25,890371.25,282.1315612792969,0.9422581195831299,0,-2.641559839,1.4606282711029053
837.9449462890625,2016/1/16 11:00,272.7352294921875,31.1922,121.4317,102128.5,-380318.25,1954229.875,907416.875,282.3290100097656,1,0,-2.450185299,1.69889497756958
949.3031005859375,2016/1/16 12:00,273.19232177734375,31.1922,121.4317,102040.8203,-459667.9375,2136841,944153.25,282.7427062988281,1,0,-2.178760529,1.5789109468460083
992.0091552734375,2016/1/16 13:00,272.84466552734375,31.1922,121.4317,101954.4219,-433082.125,2033102.375,959848.3125,283.7972412109375,0.9938352108001709,0,-2.141112328,1.4666509628295898
976.2537841796875,2016/1/16 14:00,272.7812194824219,31.1922,121.4317,101903.0938,-334436.4688,1684866,991341.3125,283.7342224121094,0.9215357303619385,0,-2.311422348,1.410987138748169
837.5562744140625,2016/1/16 15:00,272.63201904296875,31.1922,121.4317,101859.6016,-203480.0625,1283164.75,1000775.875,283.67266845703125,0.9307524561882019,0,-2.70629549,1.131224274635315
622.109130859375,2016/1/16 16:00,273.3617858886719,31.1922,121.4317,101860.1172,-46841.21875,785101.5,973450.125,282.0368957519531,0.843285083770752,0,-3.07888031,0.5084114670753479
337.6710205078125,2016/1/16 17:00,274.2857971191406,31.1922,121.4317,101852.4219,76650.6875,272409.125,961181.75,281.44384765625,0.988463819026947,-1.86E-09,-3.072172165,0.03987947106361389
263.5885009765625,2016/1/16 18:00,273.9265441894531,31.1922,121.4317,101806.4063,116488.9375,3527.125,983190.4375,280.4920349121094,0.9830314517021179,1.862645149230957E-9,-3.295920372,-0.285385281
275.9815673828125,2016/1/16 19:00,274.14056396484375,31.1922,121.4317,101810.6641,119010.0625,0,971357.75,280.51708984375,0.9380159378051758,-9.31E-10,-3.368062019,-0.15422225
251.6396484,2016/1/16 20:00,274.64398193359375,31.1922,121.4317,101803.7031,118237.3125,0,980530.8125,280.477294921875,0.8884531259536743,0,-3.044712305,0.002888783812522888
258.8964844,2016/1/16 21:00,274.96405029296875,31.1922,121.4317,101742.8438,106609.5625,0,999641,280.62103271484375,0.9743640422821045,-9.31E-10,-3.263791561,0.06458085775375366
373.2984619140625,2016/1/16 22:00,276.6578369140625,31.1922,121.4317,101715.1016,85284.3125,0,1139711,281.2755126953125,0.9388704895973206,1.7393194139003754E-4,-3.727403641,-0.140163094
267.5618896484375,2016/1/16 23:00,276.6421813964844,31.1922,121.4317,101731.6016,102201.4375,0,1128360.5,281.2109069824219,0.9648116230964661,5.928799510002136E-6,-2.571722984,-0.215104252
289.361572265625,2016/1/17 0:00,277.2850646972656,31.1922,121.4317,101685.875,86146.5625,0,1187211.75,281.1988220214844,0.9574260711669922,6.00665807723999E-4,-3.15012455,-0.566952944
290.286376953125,2016/1/17 1:00,278.2831726074219,31.1922,121.4317,101613.1953,100318.9375,0,1153413.75,280.9524841308594,1,3.147237002849579E-4,-3.144457817,-0.976861119
315.30908203125,2016/1/17 2:00,279.03173828125,31.1922,121.4317,101550.4688,83180.0625,0.25,1199383.75,280.94073486328125,1,7.476191967725754E-4,-3.206330061,-1.537744284
332.359375,2016/1/17 3:00,279.12786865234375,31.1922,121.4317,101484.0234,76312.875,0,1214406.75,280.9385681152344,1,0.00138180423527956,-3.236275911,-2.041209221
362.9814453,2016/1/17 4:00,279.1675109863281,31.1922,121.4317,101423.9297,82760.875,0,1216690.125,280.8083801269531,1,9.014029055833817E-4,-3.464312553,-2.560157299
381.0269775390625,2016/1/17 5:00,279.0195313,31.1922,121.4317,101387.625,89900.03125,0,1213793.25,280.585205078125,1,6.044581532478333E-4,-3.426225185,-2.830611706
345.0128173828125,2016/1/17 6:00,279.5095520019531,31.1922,121.4317,101482.6719,90641.1875,0,1217618.75,280.8153381347656,1,6.428714841604233E-4,-2.184876442,-3.327594042
373.6851806640625,2016/1/17 7:00,279.2303161621094,31.1922,121.4317,101435.4609,94639.4375,61.125,1217100.125,280.6749267578125,1,4.321364685893059E-4,-1.933523178,-4.198467731
455.381591796875,2016/1/17 8:00,278.9696960449219,31.1922,121.4317,101542.4688,86807.65625,39481,1202554,280.4456787109375,1,2.9074400663375854E-4,-0.80646646,-4.820058346
644.8333740234375,2016/1/17 9:00,278.8363037109375,31.1922,121.4317,101590.5703,57046.875,140450.625,1212580.75,280.21502685546875,1,3.2376963645219803E-4,-0.203012228,-4.86456871
738.4788818359375,2016/1/17 10:00,278.6230469,31.1922,121.4317,101635.5859,35781.9375,231602,1207802.25,280.9307556152344,0.988463819026947,2.561695873737335E-4,0.17315411567687988,-4.471795082
768.42041015625,2016/1/17 11:00,278.65435791015625,31.1922,121.4317,101614.7656,15578.9375,310172.125,1207292,280.8354797363281,0.975951075553894,1.548267900943756E-4,1.043893814086914,-4.591690063
745.8632813,2016/1/17 12:00,279.01336669921875,31.1922,121.4317,101575.7266,2685.0625,355920.875,1200817.25,280.8460998535156,0.9720751047134399,1.526596024632454E-4,1.671506404876709,-4.441396713
779.2523193359375,2016/1/17 13:00,278.499755859375,31.1922,121.4317,101494.4219,-18339.90625,428036.875,1203706.5,281.28753662109375,0.9428989887237549,1.1402368545532227E-4,1.7319402694702148,-5.130784035
837.10498046875,2016/1/17 14:00,278.151123046875,31.1922,121.4317,101496.0781,7593.625,335842.75,1192768.75,281.14923095703125,0.28805333375930786,5.727633833885193E-5,1.5258598327636719,-5.320871353
1042.3499755859375,2016/1/17 15:00,277.4912414550781,31.1922,121.4317,101449.6406,-296306.25,1422978.875,974269.375,281.6033935546875,0.012421220541000366,0,1.3701324462890625,-6.023602486
1145.524169921875,2016/1/17 16:00,276.57586669921875,31.1922,121.4317,101546.4844,-88069.59375,909909.625,955465.5625,281.22760009765625,0.037935078144073486,0,1.319784164428711,-5.885556221
900.6988525390625,2016/1/17 17:00,276.45556640625,31.1922,121.4317,101569.4297,105133.4375,298594.5,939021.875,281.3876953,0.010010212659835815,0,0.9642879962921143,-4.711109161
607.1114501953125,2016/1/17 18:00,275.8974609,31.1922,121.4317,101673.2344,160551.6563,4412.625,911673.25,280.2530212402344,0,0,1.100738763809204,-4.033478737
